id,url,type,language,genres,status,runtime,averageRuntime,premiered,ended
55724,https://www.tvmaze.com/shows/55724/hocu-vse-znat,Documentary,Russian,Children,Running,12.0,12.0,2021-06-01,
7847,https://www.tvmaze.com/shows/7847/po-sezonu-videodajdzest-seasonvar,Talk Show,Russian,,Running,8.0,8.0,2015-02-13,
63373,https://www.tvmaze.com/shows/63373/rusalki,Scripted,Russian,Drama,Ended,52.0,53.0,2022-09-10,2022-12-17
1505,https://www.tvmaze.com/shows/1505/one-piece,Animation,Japanese,Action,Running,25.0,26.0,1999-10-20,
62117,https://www.tvmaze.com/shows/62117/vecernij-utkin,Talk Show,Russian,Sports,Running,,51.0,2022-05-17,
59071,https://www.tvmaze.com/shows/59071/trudnye-podrostki-realnost,Documentary,Russian,,Running,,29.0,2021-11-17,
44532,https://www.tvmaze.com/shows/44532/educators,Scripted,English,Comedy,To Be Determined,15.0,15.0,2019-05-08,
7847,https://www.tvmaze.com/shows/7847/po-sezonu-videodajdzest-seasonvar,Talk Show,Russian,,Running,8.0,8.0,2015-02-13,
59071,https://www.tvmaze.com/shows/59071/trudnye-podrostki-realnost,Documentary,Russian,,Running,,29.0,2021-11-17,
63373,https://www.tvmaze.com/shows/63373/rusalki,Scripted,Russian,Drama,Ended,52.0,53.0,2022-09-10,2022-12-17
1505,https://www.tvmaze.com/shows/1505/one-piece,Animation,Japanese,Action,Running,25.0,26.0,1999-10-20,
62117,https://www.tvmaze.com/shows/62117/vecernij-utkin,Talk Show,Russian,Sports,Running,,51.0,2022-05-17,
46433,https://www.tvmaze.com/shows/46433/vampiry-srednej-polosy,Scripted,Russian,Comedy,To Be Determined,59.0,59.0,2021-03-18,
58350,https://www.tvmaze.com/shows/58350/krutiksy,Animation,Russian,,Running,10.0,10.0,2021-10-10,
55724,https://www.tvmaze.com/shows/55724/hocu-vse-znat,Documentary,Russian,Children,Running,12.0,12.0,2021-06-01,
7847,https://www.tvmaze.com/shows/7847/po-sezonu-videodajdzest-seasonvar,Talk Show,Russian,,Running,8.0,8.0,2015-02-13,
63373,https://www.tvmaze.com/shows/63373/rusalki,Scripted,Russian,Drama,Ended,52.0,53.0,2022-09-10,2022-12-17
1505,https://www.tvmaze.com/shows/1505/one-piece,Animation,Japanese,Action,Running,25.0,26.0,1999-10-20,
62117,https://www.tvmaze.com/shows/62117/vecernij-utkin,Talk Show,Russian,Sports,Running,,51.0,2022-05-17,
59537,https://www.tvmaze.com/shows/59537/nu-pogodi-kanikuly,Animation,Russian,Comedy,Running,7.0,7.0,2021-12-17,
58522,https://www.tvmaze.com/shows/58522/5-knig,Talk Show,Russian,,Running,,37.0,2021-11-13,
7847,https://www.tvmaze.com/shows/7847/po-sezonu-videodajdzest-seasonvar,Talk Show,Russian,,Running,8.0,8.0,2015-02-13,
67998,https://www.tvmaze.com/shows/67998/engineering-reborn,Documentary,English,,To Be Determined,,44.0,2022-11-25,
64306,https://www.tvmaze.com/shows/64306/rasskazy-iz-russkoj-istorii,Documentary,Russian,,Running,45.0,47.0,2021-07-01,
59537,https://www.tvmaze.com/shows/59537/nu-pogodi-kanikuly,Animation,Russian,Comedy,Running,7.0,7.0,2021-12-17,
41628,https://www.tvmaze.com/shows/41628/stellar-transformation,Animation,Chinese,Action,Running,25.0,27.0,2018-10-05,
46433,https://www.tvmaze.com/shows/46433/vampiry-srednej-polosy,Scripted,Russian,Comedy,To Be Determined,59.0,59.0,2021-03-18,
56655,https://www.tvmaze.com/shows/56655/going-seventeen,Variety,Korean,,Running,30.0,30.0,2017-06-12,
7847,https://www.tvmaze.com/shows/7847/po-sezonu-videodajdzest-seasonvar,Talk Show,Russian,,Running,8.0,8.0,2015-02-13,
59201,https://www.tvmaze.com/shows/59201/restoran-po-ponatiam,Scripted,Russian,Comedy,To Be Determined,,30.0,2022-01-20,
57139,https://www.tvmaze.com/shows/57139/take-my-muffin,Animation,Russian,Comedy,Running,,25.0,2022-04-19,
